CodSite,lat,long,abundance,habitat,spp
area3,-22.7222082,-42.628058,9,Submontane Dense Ombrophilous Atlantic Forest ,Cybistax antisyphilitica
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Dalbergia brasiliensis
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Dalbergia foliolosa
area5,-22.616667,-43.883333,1,Montane Seasonal Atlantic Forest ,Dalbergia frutescens
area12,-27.816111,-50.324167,9,Mixed Ombrophilous Atlantic Forest,Dalbergia frutescens
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Dalbergia nigra
area6,-19.616667,-43.4,13,Montane Seasonal Atlantic Forest ,Dalbergia nigra
area1,-20.798333,-41.292778,7,Submontane Seasonal Atlantic Forest,Dalbergia nigra
area10,-21.999167,-43.890833,2,Montane Dense Ombrophilous Atlantic Forest ,Dalbergia nigra
area10,-21.999167,-43.890833,3,Montane Dense Ombrophilous Atlantic Forest ,Daphnopsis coriacea
area8,-20.673889,-40.393889,38,Submontane Dense Ombrophilous Atlantic Forest ,Daphnopsis coriacea
area12,-27.816111,-50.324167,1,Mixed Ombrophilous Atlantic Forest,Daphnopsis racemosa
area12,-27.816111,-50.324167,11,Mixed Ombrophilous Atlantic Forest,Dasyphyllum brasiliense
area12,-27.816111,-50.324167,24,Mixed Ombrophilous Atlantic Forest,Dasyphyllum spinescens
area7,-7.633333,-35.5,10,Montane Dense Ombrophilous Atlantic Forest ,Dendropanax arboreum
area7,-7.633333,-35.5,27,Montane Dense Ombrophilous Atlantic Forest ,Dialium guianense
area9,-8.032611,-35.192125,57,Lowlands Seasonal Atlantic Forest ,Dialium guianense
area13,-8.016667,-35.174167,7,Lowlands Dense Ombrophilous Atlantic Forest ,Dialium guianense
area4,-28.733333,-49.75,4,Montane Dense Ombrophilous Atlantic Forest ,Dicksonia sellowiana
area12,-27.816111,-50.324167,39,Mixed Ombrophilous Atlantic Forest,Dicksonia sellowiana
area10,-21.999167,-43.890833,1,Montane Dense Ombrophilous Atlantic Forest ,Dictyoloma vandellianum
area7,-7.633333,-35.5,12,Montane Dense Ombrophilous Atlantic Forest ,Diospyros guianensis
area2,-22.528333,-50.715556,2,Montane Dense Ombrophilous Atlantic Forest ,Diploon cuspidatum
area7,-7.633333,-35.5,2,Montane Dense Ombrophilous Atlantic Forest ,Diploon cuspidatum
area7,-7.633333,-35.5,23,Montane Dense Ombrophilous Atlantic Forest ,Diplotropis purpurea
area13,-8.016667,-35.174167,1,Lowlands Dense Ombrophilous Atlantic Forest ,Dipteryx odorata
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Discophora guianensis
area12,-27.816111,-50.324167,13,Mixed Ombrophilous Atlantic Forest,Drimys brasiliensis
area11,-21.976389,-43.878889,12,Montane Cloud Atlantic Forest,Drimys brasiliensis
area10,-21.999167,-43.890833,7,Montane Dense Ombrophilous Atlantic Forest ,Duguetia lanceolata
area4,-28.733333,-49.75,4,Montane Dense Ombrophilous Atlantic Forest ,Duguetia lanceolata
area6,-19.616667,-43.4,6,Montane Seasonal Atlantic Forest ,Duguetia lanceolata
area8,-20.673889,-40.393889,6,Submontane Dense Ombrophilous Atlantic Forest ,Dulacia singularis
area12,-27.816111,-50.324167,40,Mixed Ombrophilous Atlantic Forest,Duranta vestita
area1,-20.798333,-41.292778,22,Submontane Seasonal Atlantic Forest,Ecclinusa ramiflora
area2,-22.528333,-50.715556,5,Montane Dense Ombrophilous Atlantic Forest ,Ecclinusa ramiflora
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Ecclinusa ramiflora
area6,-19.616667,-43.4,2,Montane Seasonal Atlantic Forest ,Endlicheria glomerata
area4,-28.733333,-49.75,26,Montane Dense Ombrophilous Atlantic Forest ,Endlicheria paniculata
area9,-8.032611,-35.192125,8,Lowlands Seasonal Atlantic Forest ,Eriotheca crenulaticalyx
area6,-19.616667,-43.4,2,Montane Seasonal Atlantic Forest ,Eriotheca macrophylla
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Eriotheca macrophylla
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Eriotheca pentaphylla
area8,-20.673889,-40.393889,29,Submontane Dense Ombrophilous Atlantic Forest ,Eriotheca pentaphylla
area4,-28.733333,-49.75,2,Montane Dense Ombrophilous Atlantic Forest ,Erythrina falcata
area5,-22.616667,-43.883333,1,Montane Seasonal Atlantic Forest ,Erythrina speciosa
area9,-8.032611,-35.192125,2,Lowlands Seasonal Atlantic Forest ,Erythroxylum affine
area13,-8.016667,-35.174167,5,Lowlands Dense Ombrophilous Atlantic Forest ,Erythroxylum citrifolium
area12,-27.816111,-50.324167,11,Mixed Ombrophilous Atlantic Forest,Erythroxylum cuneifolium
area2,-22.528333,-50.715556,4,Montane Dense Ombrophilous Atlantic Forest ,Erythroxylum cuneifolium
area12,-27.816111,-50.324167,4,Mixed Ombrophilous Atlantic Forest,Erythroxylum deciduum
area8,-20.673889,-40.393889,4,Submontane Dense Ombrophilous Atlantic Forest ,Erythroxylum oxypetalum
area6,-19.616667,-43.4,6,Montane Seasonal Atlantic Forest ,Erythroxylum pelleterianum
area10,-21.999167,-43.890833,21,Montane Dense Ombrophilous Atlantic Forest ,Erythroxylum pelleterianum
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Erythroxylum pulchrum
area5,-22.616667,-43.883333,6,Montane Seasonal Atlantic Forest ,Erythroxylum pulchrum
area7,-7.633333,-35.5,2,Montane Dense Ombrophilous Atlantic Forest ,Erythroxylum pulchrum
area7,-7.633333,-35.5,9,Montane Dense Ombrophilous Atlantic Forest ,Erythroxylum squamatum
area9,-8.032611,-35.192125,2,Lowlands Seasonal Atlantic Forest ,Eschweilera alvimii
area7,-7.633333,-35.5,45,Montane Dense Ombrophilous Atlantic Forest ,Eschweilera ovata
area13,-8.016667,-35.174167,44,Lowlands Dense Ombrophilous Atlantic Forest ,Eschweilera ovata
area9,-8.032611,-35.192125,28,Lowlands Seasonal Atlantic Forest ,Eschweilera ovata
area4,-28.733333,-49.75,2,Montane Dense Ombrophilous Atlantic Forest ,Esenbeckia grandiflora
area10,-21.999167,-43.890833,13,Montane Dense Ombrophilous Atlantic Forest ,Eugenia acutata
area7,-7.633333,-35.5,2,Montane Dense Ombrophilous Atlantic Forest ,Eugenia ayacuchae
area4,-28.733333,-49.75,2,Montane Dense Ombrophilous Atlantic Forest ,Eugenia bacopari
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Eugenia bahiensis
area8,-20.673889,-40.393889,20,Submontane Dense Ombrophilous Atlantic Forest ,Eugenia bahiensis
area5,-22.616667,-43.883333,2,Montane Seasonal Atlantic Forest ,Eugenia brasiliensis
area10,-21.999167,-43.890833,2,Montane Dense Ombrophilous Atlantic Forest ,Eugenia brasiliensis
area2,-22.528333,-50.715556,4,Montane Dense Ombrophilous Atlantic Forest ,Eugenia cambucae
area5,-22.616667,-43.883333,4,Montane Seasonal Atlantic Forest ,Eugenia candolleana
area10,-21.999167,-43.890833,2,Montane Dense Ombrophilous Atlantic Forest ,Eugenia cerasiflora
area2,-22.528333,-50.715556,3,Montane Dense Ombrophilous Atlantic Forest ,Eugenia chlorophylla
area8,-20.673889,-40.393889,6,Submontane Dense Ombrophilous Atlantic Forest ,Eugenia chlorophylla
area7,-7.633333,-35.5,2,Montane Dense Ombrophilous Atlantic Forest ,Eugenia diplocampta
area8,-20.673889,-40.393889,29,Submontane Dense Ombrophilous Atlantic Forest ,Eugenia excelsa
area2,-22.528333,-50.715556,1,Montane Dense Ombrophilous Atlantic Forest ,Eugenia expansa
area10,-21.999167,-43.890833,14,Montane Dense Ombrophilous Atlantic Forest ,Eugenia involucrata
area2,-22.528333,-50.715556,2,Montane Dense Ombrophilous Atlantic Forest ,Eugenia mandioccensis
area2,-22.528333,-50.715556,8,Montane Dense Ombrophilous Atlantic Forest ,Eugenia microcarpa
area8,-20.673889,-40.393889,5,Submontane Dense Ombrophilous Atlantic Forest ,Eugenia monosperma
area6,-19.616667,-43.4,3,Montane Seasonal Atlantic Forest ,Eugenia nutans
area2,-22.528333,-50.715556,17,Montane Dense Ombrophilous Atlantic Forest ,Eugenia pisiformis
area12,-27.816111,-50.324167,6,Mixed Ombrophilous Atlantic Forest,Eugenia pluriflora
area3,-22.7222082,-42.628058,3,Submontane Dense Ombrophilous Atlantic Forest ,Eugenia pruniformis
area8,-20.673889,-40.393889,5,Submontane Dense Ombrophilous Atlantic Forest ,Eugenia punicifolia
area12,-27.816111,-50.324167,9,Mixed Ombrophilous Atlantic Forest,Eugenia pyriformis
area8,-20.673889,-40.393889,14,Submontane Dense Ombrophilous Atlantic Forest ,Eugenia rostrata
area8,-20.673889,-40.393889,2,Submontane Dense Ombrophilous Atlantic Forest ,Eugenia speciosa
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Eugenia strictissima
area2,-22.528333,-50.715556,1,Montane Dense Ombrophilous Atlantic Forest ,Eugenia subavenia
area6,-19.616667,-43.4,6,Montane Seasonal Atlantic Forest ,Eugenia tenuipedunculata
area8,-20.673889,-40.393889,4,Submontane Dense Ombrophilous Atlantic Forest ,Eugenia umbelliflora
area12,-27.816111,-50.324167,3,Mixed Ombrophilous Atlantic Forest,Eugenia uruguayensis
area2,-22.528333,-50.715556,29,Montane Dense Ombrophilous Atlantic Forest ,Eugenia vattimoana
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Eugenia widgrenii
area10,-21.999167,-43.890833,63,Montane Dense Ombrophilous Atlantic Forest ,Eugenia widgrenii
area11,-21.976389,-43.878889,7,Montane Cloud Atlantic Forest,Eugenia widgrenii
area2,-22.528333,-50.715556,45,Montane Dense Ombrophilous Atlantic Forest ,Euterpe edulis
area4,-28.733333,-49.75,645,Montane Dense Ombrophilous Atlantic Forest ,Euterpe edulis
area11,-21.976389,-43.878889,6,Montane Cloud Atlantic Forest,Euterpe edulis
area8,-20.673889,-40.393889,6,Submontane Dense Ombrophilous Atlantic Forest ,Exostylis venusta
area6,-19.616667,-43.4,2,Montane Seasonal Atlantic Forest ,Ferdinandusa Pohl
area3,-22.7222082,-42.628058,2,Submontane Dense Ombrophilous Atlantic Forest ,Ficus adhatodifolia
area2,-22.528333,-50.715556,1,Montane Dense Ombrophilous Atlantic Forest ,Ficus clusiifolia
area8,-20.673889,-40.393889,3,Submontane Dense Ombrophilous Atlantic Forest ,Ficus clusiifolia
area8,-20.673889,-40.393889,3,Submontane Dense Ombrophilous Atlantic Forest ,Ficus cyclophylla
area5,-22.616667,-43.883333,2,Montane Seasonal Atlantic Forest ,Ficus enormis
area8,-20.673889,-40.393889,1,Submontane Dense Ombrophilous Atlantic Forest ,Ficus hirsuta
area4,-28.733333,-49.75,4,Montane Dense Ombrophilous Atlantic Forest ,Ficus luschnathiana
area2,-22.528333,-50.715556,1,Montane Dense Ombrophilous Atlantic Forest ,Ficus pulchella
area2,-22.528333,-50.715556,5,Montane Dense Ombrophilous Atlantic Forest ,Galipea laxiflora
area1,-20.798333,-41.292778,4,Submontane Seasonal Atlantic Forest,Gallesia integrifolia
area2,-22.528333,-50.715556,4,Montane Dense Ombrophilous Atlantic Forest ,Gallesia integrifolia
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Garcinia brasiliensis
area7,-7.633333,-35.5,19,Montane Dense Ombrophilous Atlantic Forest ,Garcinia brasiliensis
area10,-21.999167,-43.890833,5,Montane Dense Ombrophilous Atlantic Forest ,Garcinia brasiliensis
area13,-8.016667,-35.174167,2,Lowlands Dense Ombrophilous Atlantic Forest ,Garcinia brasiliensis
area8,-20.673889,-40.393889,16,Submontane Dense Ombrophilous Atlantic Forest ,Garcinia brasiliensis
area2,-22.528333,-50.715556,7,Montane Dense Ombrophilous Atlantic Forest ,Garcinia gardneriana
area7,-7.633333,-35.5,2,Montane Dense Ombrophilous Atlantic Forest ,Garcinia gardneriana
area13,-8.016667,-35.174167,1,Lowlands Dense Ombrophilous Atlantic Forest ,Garcinia gardneriana
area1,-20.798333,-41.292778,16,Submontane Seasonal Atlantic Forest,Geissospermum laeve
area2,-22.528333,-50.715556,1,Montane Dense Ombrophilous Atlantic Forest ,Geissospermum laeve
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Geissospermum laeve
area13,-8.016667,-35.174167,2,Lowlands Dense Ombrophilous Atlantic Forest ,Genipa americana
area6,-19.616667,-43.4,2,Montane Seasonal Atlantic Forest ,Geonoma schottiana
area10,-21.999167,-43.890833,27,Montane Dense Ombrophilous Atlantic Forest ,Geonoma schottiana
area11,-21.976389,-43.878889,9,Montane Cloud Atlantic Forest,Geonoma schottiana
area8,-20.673889,-40.393889,29,Submontane Dense Ombrophilous Atlantic Forest ,Gomidesia martiana
area2,-22.528333,-50.715556,2,Montane Dense Ombrophilous Atlantic Forest ,Guapira areolata
area10,-21.999167,-43.890833,8,Montane Dense Ombrophilous Atlantic Forest ,Guapira graciliflora
area11,-21.976389,-43.878889,1,Montane Cloud Atlantic Forest,Guapira graciliflora
area9,-8.032611,-35.192125,4,Lowlands Seasonal Atlantic Forest ,Guapira hirsuta
area13,-8.016667,-35.174167,8,Lowlands Dense Ombrophilous Atlantic Forest ,Guapira laxa
area2,-22.528333,-50.715556,1,Montane Dense Ombrophilous Atlantic Forest ,Guapira nitida
area3,-22.7222082,-42.628058,21,Submontane Dense Ombrophilous Atlantic Forest ,Guapira nitida
area1,-20.798333,-41.292778,20,Submontane Seasonal Atlantic Forest,Guapira noxia
area8,-20.673889,-40.393889,6,Submontane Dense Ombrophilous Atlantic Forest ,Guapira obtusata
area1,-20.798333,-41.292778,10,Submontane Seasonal Atlantic Forest,Guapira opposita
area2,-22.528333,-50.715556,8,Montane Dense Ombrophilous Atlantic Forest ,Guapira opposita
area3,-22.7222082,-42.628058,21,Submontane Dense Ombrophilous Atlantic Forest ,Guapira opposita
area4,-28.733333,-49.75,8,Montane Dense Ombrophilous Atlantic Forest ,Guapira opposita
area5,-22.616667,-43.883333,3,Montane Seasonal Atlantic Forest ,Guapira opposita
area7,-7.633333,-35.5,2,Montane Dense Ombrophilous Atlantic Forest ,Guapira opposita
area10,-21.999167,-43.890833,6,Montane Dense Ombrophilous Atlantic Forest ,Guapira opposita
area11,-21.976389,-43.878889,4,Montane Cloud Atlantic Forest,Guapira opposita
area13,-8.016667,-35.174167,1,Lowlands Dense Ombrophilous Atlantic Forest ,Guapira opposita
area8,-20.673889,-40.393889,35,Submontane Dense Ombrophilous Atlantic Forest ,Guapira opposita
area7,-7.633333,-35.5,6,Montane Dense Ombrophilous Atlantic Forest ,Guapira venosa
area10,-21.999167,-43.890833,5,Montane Dense Ombrophilous Atlantic Forest ,Guapira venosa
area11,-21.976389,-43.878889,64,Montane Cloud Atlantic Forest,Guapira venosa
area1,-20.798333,-41.292778,12,Submontane Seasonal Atlantic Forest,Guarea guidonia
area3,-22.7222082,-42.628058,20,Submontane Dense Ombrophilous Atlantic Forest ,Guarea guidonia
area13,-8.016667,-35.174167,6,Lowlands Dense Ombrophilous Atlantic Forest ,Guarea guidonia
area8,-20.673889,-40.393889,4,Submontane Dense Ombrophilous Atlantic Forest ,Guarea guidonia
area2,-22.528333,-50.715556,19,Montane Dense Ombrophilous Atlantic Forest ,Guarea kunthiana
area5,-22.616667,-43.883333,1,Montane Seasonal Atlantic Forest ,Guarea kunthiana
area7,-7.633333,-35.5,2,Montane Dense Ombrophilous Atlantic Forest ,Guarea kunthiana
area3,-22.7222082,-42.628058,4,Submontane Dense Ombrophilous Atlantic Forest ,Guarea macrophylla
area4,-28.733333,-49.75,6,Montane Dense Ombrophilous Atlantic Forest ,Guarea macrophylla
area7,-7.633333,-35.5,27,Montane Dense Ombrophilous Atlantic Forest ,Guarea macrophylla
area10,-21.999167,-43.890833,3,Montane Dense Ombrophilous Atlantic Forest ,Guarea macrophylla
area13,-8.016667,-35.174167,1,Lowlands Dense Ombrophilous Atlantic Forest ,Guarea macrophylla
area4,-28.733333,-49.75,2,Montane Dense Ombrophilous Atlantic Forest ,Guatteria australis
area5,-22.616667,-43.883333,4,Montane Seasonal Atlantic Forest ,Guatteria australis
area10,-21.999167,-43.890833,9,Montane Dense Ombrophilous Atlantic Forest ,Guatteria australis
area11,-21.976389,-43.878889,17,Montane Cloud Atlantic Forest,Guatteria australis
area3,-22.7222082,-42.628058,5,Submontane Dense Ombrophilous Atlantic Forest ,Guatteria candolleana
area7,-7.633333,-35.5,2,Montane Dense Ombrophilous Atlantic Forest ,Guatteria pogonopus
area13,-8.016667,-35.174167,1,Lowlands Dense Ombrophilous Atlantic Forest ,Guatteria schomburgkiana
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Guatteria sellowiana
area6,-19.616667,-43.4,8,Montane Seasonal Atlantic Forest ,Guatteria villosissima
area9,-8.032611,-35.192125,90,Lowlands Seasonal Atlantic Forest ,Gustavia augusta
area13,-8.016667,-35.174167,10,Lowlands Dense Ombrophilous Atlantic Forest ,Gustavia augusta
area10,-21.999167,-43.890833,21,Montane Dense Ombrophilous Atlantic Forest ,Gymnanthes concolor
area12,-27.816111,-50.324167,13,Mixed Ombrophilous Atlantic Forest,Gymnanthes klotzschiana
area12,-27.816111,-50.324167,4,Mixed Ombrophilous Atlantic Forest,Handroanthus albus
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Handroanthus chrysotrichus
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Handroanthus heptaphyllus
area3,-22.7222082,-42.628058,2,Submontane Dense Ombrophilous Atlantic Forest ,Handroanthus serratifolius
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Handroanthus vellosoi
area8,-20.673889,-40.393889,10,Submontane Dense Ombrophilous Atlantic Forest ,Heisteria perianthomega
area2,-22.528333,-50.715556,1,Montane Dense Ombrophilous Atlantic Forest ,Heisteria silvianii
area10,-21.999167,-43.890833,2,Montane Dense Ombrophilous Atlantic Forest ,Heisteria silvianii
area3,-22.7222082,-42.628058,34,Submontane Dense Ombrophilous Atlantic Forest ,Helicostylis tomentosa
area6,-19.616667,-43.4,8,Montane Seasonal Atlantic Forest ,Helicostylis tomentosa
area7,-7.633333,-35.5,62,Montane Dense Ombrophilous Atlantic Forest ,Helicostylis tomentosa
area13,-8.016667,-35.174167,30,Lowlands Dense Ombrophilous Atlantic Forest ,Helicostylis tomentosa
area3,-22.7222082,-42.628058,3,Submontane Dense Ombrophilous Atlantic Forest ,Himatanthus bracteatus
area5,-22.616667,-43.883333,2,Montane Seasonal Atlantic Forest ,Himatanthus bracteatus
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Himatanthus bracteatus
area7,-7.633333,-35.5,2,Montane Dense Ombrophilous Atlantic Forest ,Himatanthus phagedaenicus
area13,-8.016667,-35.174167,16,Lowlands Dense Ombrophilous Atlantic Forest ,Himatanthus phagedaenicus
area10,-21.999167,-43.890833,3,Montane Dense Ombrophilous Atlantic Forest ,Hirtella glandulosa
area4,-28.733333,-49.75,2,Montane Dense Ombrophilous Atlantic Forest ,Hirtella hebeclada
area11,-21.976389,-43.878889,1,Montane Cloud Atlantic Forest,Hirtella hebeclada
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Hortia brasiliana
area4,-28.733333,-49.75,6,Montane Dense Ombrophilous Atlantic Forest ,Hovenia dulcis
area2,-22.528333,-50.715556,2,Montane Dense Ombrophilous Atlantic Forest ,Hyeronima alchorneoides
area4,-28.733333,-49.75,43,Montane Dense Ombrophilous Atlantic Forest ,Hyeronima alchorneoides
area13,-8.016667,-35.174167,29,Lowlands Dense Ombrophilous Atlantic Forest ,Hyeronima alchorneoides
area6,-19.616667,-43.4,2,Montane Seasonal Atlantic Forest ,Hyeronima oblonga
area7,-7.633333,-35.5,8,Montane Dense Ombrophilous Atlantic Forest ,Hyeronima oblonga
area6,-19.616667,-43.4,4,Montane Seasonal Atlantic Forest ,Hymenaea courbaril
area13,-8.016667,-35.174167,2,Lowlands Dense Ombrophilous Atlantic Forest ,Hymenaea courbaril
area9,-8.032611,-35.192125,2,Lowlands Seasonal Atlantic Forest ,Hymenaea rubiflora
area8,-20.673889,-40.393889,4,Submontane Dense Ombrophilous Atlantic Forest ,Hymenaea rubiflora
area6,-19.616667,-43.4,4,Montane Seasonal Atlantic Forest ,Hymenolobium janeirense
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Hyptidendron asperrimum
area12,-27.816111,-50.324167,4,Mixed Ombrophilous Atlantic Forest,Ilex brevicuspis
area12,-27.816111,-50.324167,1,Mixed Ombrophilous Atlantic Forest,Ilex dumosa
area11,-21.976389,-43.878889,13,Montane Cloud Atlantic Forest,Ilex paraguariensis
area12,-27.816111,-50.324167,4,Mixed Ombrophilous Atlantic Forest,Ilex paraguariensis
area7,-7.633333,-35.5,3,Montane Dense Ombrophilous Atlantic Forest ,Ilex sapotifolia
area4,-28.733333,-49.75,2,Montane Dense Ombrophilous Atlantic Forest ,Ilex theezans
area10,-21.999167,-43.890833,2,Montane Dense Ombrophilous Atlantic Forest ,Ilex theezans
area12,-27.816111,-50.324167,6,Mixed Ombrophilous Atlantic Forest,Ilex theezans
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Inga capitata
area8,-20.673889,-40.393889,16,Submontane Dense Ombrophilous Atlantic Forest ,Inga capitata
area3,-22.7222082,-42.628058,2,Submontane Dense Ombrophilous Atlantic Forest ,Inga cylindrica
area6,-19.616667,-43.4,7,Montane Seasonal Atlantic Forest ,Inga cylindrica
area7,-7.633333,-35.5,16,Montane Dense Ombrophilous Atlantic Forest ,Inga edulis
area7,-7.633333,-35.5,3,Montane Dense Ombrophilous Atlantic Forest ,Inga flagelliformis
area13,-8.016667,-35.174167,18,Lowlands Dense Ombrophilous Atlantic Forest ,Inga flagelliformis
area13,-8.016667,-35.174167,2,Lowlands Dense Ombrophilous Atlantic Forest ,Inga laurina
area4,-28.733333,-49.75,6,Montane Dense Ombrophilous Atlantic Forest ,Inga marginata
area11,-21.976389,-43.878889,10,Montane Cloud Atlantic Forest,Inga sessilis
area13,-8.016667,-35.174167,14,Lowlands Dense Ombrophilous Atlantic Forest ,Inga sessilis
area6,-19.616667,-43.4,2,Montane Seasonal Atlantic Forest ,Inga subnuda
area7,-7.633333,-35.5,4,Montane Dense Ombrophilous Atlantic Forest ,Inga subnuda
area13,-8.016667,-35.174167,50,Lowlands Dense Ombrophilous Atlantic Forest ,Inga subnuda
area10,-21.999167,-43.890833,1,Montane Dense Ombrophilous Atlantic Forest ,Inga tenuis
area7,-7.633333,-35.5,9,Montane Dense Ombrophilous Atlantic Forest ,Inga thibaudiana
area10,-21.999167,-43.890833,9,Montane Dense Ombrophilous Atlantic Forest ,Ixora brevifolia
area3,-22.7222082,-42.628058,3,Submontane Dense Ombrophilous Atlantic Forest ,Jacaranda bracteata
area6,-19.616667,-43.4,3,Montane Seasonal Atlantic Forest ,Jacaranda macrantha
area8,-20.673889,-40.393889,4,Submontane Dense Ombrophilous Atlantic Forest ,Jacaranda puberola
area4,-28.733333,-49.75,4,Montane Dense Ombrophilous Atlantic Forest ,Jacaranda puberula
area7,-7.633333,-35.5,3,Montane Dense Ombrophilous Atlantic Forest ,Jacaranda puberula
area10,-21.999167,-43.890833,4,Montane Dense Ombrophilous Atlantic Forest ,Jacaranda puberula
area12,-27.816111,-50.324167,103,Mixed Ombrophilous Atlantic Forest,Jacaranda puberula
area2,-22.528333,-50.715556,1,Montane Dense Ombrophilous Atlantic Forest ,Jacaratia spinosa
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Jacaratia spinosa
area4,-28.733333,-49.75,4,Montane Dense Ombrophilous Atlantic Forest ,Kaunia rufescens
area8,-20.673889,-40.393889,2,Submontane Dense Ombrophilous Atlantic Forest ,Kielmeyera albopunctata
area10,-21.999167,-43.890833,1,Montane Dense Ombrophilous Atlantic Forest ,Kielmeyera coriacea
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Kielmeyera lathrophyton
area3,-22.7222082,-42.628058,35,Submontane Dense Ombrophilous Atlantic Forest ,Lacistema pubescens
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Lacistema pubescens
area10,-21.999167,-43.890833,20,Montane Dense Ombrophilous Atlantic Forest ,Lacistema pubescens
area4,-28.733333,-49.75,10,Montane Dense Ombrophilous Atlantic Forest ,Lamanonia ternata
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Lamanonia ternata
area10,-21.999167,-43.890833,1,Montane Dense Ombrophilous Atlantic Forest ,Lamanonia ternata
area12,-27.816111,-50.324167,1,Mixed Ombrophilous Atlantic Forest,Lamanonia ternata
area10,-21.999167,-43.890833,3,Montane Dense Ombrophilous Atlantic Forest ,Laplacea fruticosa
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Laplacea tomentosa
area6,-19.616667,-43.4,3,Montane Seasonal Atlantic Forest ,Lecythis lanceolata
area1,-20.798333,-41.292778,5,Submontane Seasonal Atlantic Forest,Lecythis lurida
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Lecythis pisonis
area10,-21.999167,-43.890833,4,Montane Dense Ombrophilous Atlantic Forest ,Leucochloron incuriale
area2,-22.528333,-50.715556,2,Montane Dense Ombrophilous Atlantic Forest ,Licania kunthiana
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Licania kunthiana
area7,-7.633333,-35.5,4,Montane Dense Ombrophilous Atlantic Forest ,Licania kunthiana
area10,-21.999167,-43.890833,8,Montane Dense Ombrophilous Atlantic Forest ,Licania kunthiana
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Licania octandra
area13,-8.016667,-35.174167,2,Lowlands Dense Ombrophilous Atlantic Forest ,Licania tomentosa
